sid,symbol,name,c_name,localSymbol,exchange,currency,gateway,secType
1,000001,平安银行,金融行业,000001,szse,CNY,STOCK,STK
2,000002,万 科Ａ,房地产,000002,szse,CNY,STOCK,STK
4,000004,国农科技,生物制药,000004,szse,CNY,STOCK,STK
5,000005,世纪星源,房地产,000005,szse,CNY,STOCK,STK
6,000006,深振业Ａ,房地产,000006,szse,CNY,STOCK,STK
7,000007,全新好,酒店旅游,000007,szse,CNY,STOCK,STK
8,000008,神州高铁,综合行业,000008,szse,CNY,STOCK,STK
9,000009,中国宝安,房地产,000009,szse,CNY,STOCK,STK
10,000010,美丽生态,建筑建材,000010,szse,CNY,STOCK,STK
11,000011,深物业A,房地产,000011,szse,CNY,STOCK,STK
12,000012,南 玻Ａ,玻璃行业,000012,szse,CNY,STOCK,STK
14,000014,沙河股份,房地产,000014,szse,CNY,STOCK,STK
16,000016,深康佳Ａ,家电行业,000016,szse,CNY,STOCK,STK
18,000018,神州长城,纺织行业,000018,szse,CNY,STOCK,STK
19,000019,深深宝Ａ,食品行业,000019,szse,CNY,STOCK,STK
20,000020,深华发Ａ,电子器件,000020,szse,CNY,STOCK,STK
21,000021,深科技,电子信息,000021,szse,CNY,STOCK,STK
22,000022,深赤湾Ａ,交通运输,000022,szse,CNY,STOCK,STK
23,000023,深天地Ａ,建筑建材,000023,szse,CNY,STOCK,STK
25,000025,特 力Ａ,汽车制造,000025,szse,CNY,STOCK,STK
26,000026,飞亚达Ａ,商业百货,000026,szse,CNY,STOCK,STK
27,000027,深圳能源,电力行业,000027,szse,CNY,STOCK,STK
28,000028,国药一致,商业百货,000028,szse,CNY,STOCK,STK
29,000029,深深房Ａ,房地产,000029,szse,CNY,STOCK,STK
30,000030,富奥股份,汽车制造,000030,szse,CNY,STOCK,STK
31,000031,中粮地产,房地产,000031,szse,CNY,STOCK,STK
32,000032,深桑达Ａ,电子信息,000032,szse,CNY,STOCK,STK
34,000034,神州数码,煤炭行业,000034,szse,CNY,STOCK,STK
35,000035,中国天楹,电子信息,000035,szse,CNY,STOCK,STK
36,000036,华联控股,房地产,000036,szse,CNY,STOCK,STK
37,000037,*ST南电A,电力行业,000037,szse,CNY,STOCK,STK
38,000038,深大通,房地产,000038,szse,CNY,STOCK,STK
39,000039,中集集团,机械行业,000039,szse,CNY,STOCK,STK
40,000040,东旭蓝天,房地产,000040,szse,CNY,STOCK,STK
42,000042,中洲控股,房地产,000042,szse,CNY,STOCK,STK
43,000043,中航地产,房地产,000043,szse,CNY,STOCK,STK
45,000045,深纺织Ａ,纺织行业,000045,szse,CNY,STOCK,STK
46,000046,泛海控股,房地产,000046,szse,CNY,STOCK,STK
48,000048,康达尔,农林牧渔,000048,szse,CNY,STOCK,STK
49,000049,德赛电池,电器行业,000049,szse,CNY,STOCK,STK
50,000050,深天马Ａ,电子器件,000050,szse,CNY,STOCK,STK
55,000055,方大集团,建筑建材,000055,szse,CNY,STOCK,STK
56,000056,皇庭国际,房地产,000056,szse,CNY,STOCK,STK
58,000058,深 赛 格,电子器件,000058,szse,CNY,STOCK,STK
59,000059,华锦股份,石油行业,000059,szse,CNY,STOCK,STK
60,000060,中金岭南,有色金属,000060,szse,CNY,STOCK,STK
61,000061,农 产 品,农林牧渔,000061,szse,CNY,STOCK,STK
62,000062,深圳华强,商业百货,000062,szse,CNY,STOCK,STK
63,000063,中兴通讯,电子信息,000063,szse,CNY,STOCK,STK
65,000065,北方国际,建筑建材,000065,szse,CNY,STOCK,STK
66,000066,长城电脑,电子信息,000066,szse,CNY,STOCK,STK
68,000068,华控赛格,电子器件,000068,szse,CNY,STOCK,STK
69,000069,华侨城Ａ,酒店旅游,000069,szse,CNY,STOCK,STK
70,000070,特发信息,电子信息,000070,szse,CNY,STOCK,STK
78,000078,海王生物,生物制药,000078,szse,CNY,STOCK,STK
88,000088,盐 田 港,交通运输,000088,szse,CNY,STOCK,STK
89,000089,深圳机场,交通运输,000089,szse,CNY,STOCK,STK
90,000090,天健集团,建筑建材,000090,szse,CNY,STOCK,STK
96,000096,广聚能源,石油行业,000096,szse,CNY,STOCK,STK
99,000099,中信海直,交通运输,000099,szse,CNY,STOCK,STK
100,000100,TCL 集团,家电行业,000100,szse,CNY,STOCK,STK
150,000150,宜华健康,医疗器械,000150,szse,CNY,STOCK,STK
151,000151,中成股份,物资外贸,000151,szse,CNY,STOCK,STK
153,000153,丰原药业,生物制药,000153,szse,CNY,STOCK,STK
155,000155,*ST川化,农药化肥,000155,szse,CNY,STOCK,STK
156,000156,华数传媒,传媒娱乐,000156,szse,CNY,STOCK,STK
157,000157,中联重科,机械行业,000157,szse,CNY,STOCK,STK
158,000158,常山股份,纺织行业,000158,szse,CNY,STOCK,STK
159,000159,国际实业,石油行业,000159,szse,CNY,STOCK,STK
166,000166,申万宏源,金融行业,000166,szse,CNY,STOCK,STK
301,000301,东方市场,综合行业,000301,szse,CNY,STOCK,STK
333,000333,美的集团,家电行业,000333,szse,CNY,STOCK,STK
338,000338,潍柴动力,汽车制造,000338,szse,CNY,STOCK,STK
400,000400,许继电气,发电设备,000400,szse,CNY,STOCK,STK
401,000401,冀东水泥,水泥行业,000401,szse,CNY,STOCK,STK
402,000402,金 融 街,房地产,000402,szse,CNY,STOCK,STK
403,000403,ST生化,生物制药,000403,szse,CNY,STOCK,STK
404,000404,华意压缩,机械行业,000404,szse,CNY,STOCK,STK
407,000407,胜利股份,塑料制品,000407,szse,CNY,STOCK,STK
408,000408,*ST金源,商业百货,000408,szse,CNY,STOCK,STK
409,000409,山东地矿,钢铁行业,000409,szse,CNY,STOCK,STK
410,000410,沈阳机床,机械行业,000410,szse,CNY,STOCK,STK
411,000411,英特集团,商业百货,000411,szse,CNY,STOCK,STK
413,000413,东旭光电,电子器件,000413,szse,CNY,STOCK,STK
415,000415,渤海金控,金融行业,000415,szse,CNY,STOCK,STK
416,000416,民生控股,商业百货,000416,szse,CNY,STOCK,STK
417,000417,合肥百货,商业百货,000417,szse,CNY,STOCK,STK
