sid,currency,exchange,gateway,localSymbol,name,secType,symbol
36339905,USD,IDEALPRO,IB,EUR.USD,EUR.USD,CASH,EUR
1,CNY,szse,STOCK,000001,平安银行,STK,000001
2,CNY,szse,STOCK,000002,万 科Ａ,STK,000002
4,CNY,szse,STOCK,000004,国农科技,STK,000004
5,CNY,szse,STOCK,000005,世纪星源,STK,000005
6,CNY,szse,STOCK,000006,深振业Ａ,STK,000006
7,CNY,szse,STOCK,000007,全新好,STK,000007
8,CNY,szse,STOCK,000008,神州高铁,STK,000008
9,CNY,szse,STOCK,000009,中国宝安,STK,000009
10,CNY,szse,STOCK,000010,美丽生态,STK,000010
11,CNY,szse,STOCK,000011,深物业A,STK,000011
12,CNY,szse,STOCK,000012,南 玻Ａ,STK,000012
14,CNY,szse,STOCK,000014,沙河股份,STK,000014
16,CNY,szse,STOCK,000016,深康佳Ａ,STK,000016
18,CNY,szse,STOCK,000018,神州长城,STK,000018
19,CNY,szse,STOCK,000019,深深宝Ａ,STK,000019
20,CNY,szse,STOCK,000020,深华发Ａ,STK,000020
21,CNY,szse,STOCK,000021,深科技,STK,000021
22,CNY,szse,STOCK,000022,深赤湾Ａ,STK,000022
23,CNY,szse,STOCK,000023,深天地Ａ,STK,000023
25,CNY,szse,STOCK,000025,特 力Ａ,STK,000025
26,CNY,szse,STOCK,000026,飞亚达Ａ,STK,000026
27,CNY,szse,STOCK,000027,深圳能源,STK,000027
28,CNY,szse,STOCK,000028,国药一致,STK,000028
29,CNY,szse,STOCK,000029,深深房Ａ,STK,000029
30,CNY,szse,STOCK,000030,富奥股份,STK,000030
31,CNY,szse,STOCK,000031,中粮地产,STK,000031
32,CNY,szse,STOCK,000032,深桑达Ａ,STK,000032
34,CNY,szse,STOCK,000034,神州数码,STK,000034
35,CNY,szse,STOCK,000035,中国天楹,STK,000035
36,CNY,szse,STOCK,000036,华联控股,STK,000036
37,CNY,szse,STOCK,000037,*ST南电A,STK,000037
38,CNY,szse,STOCK,000038,深大通,STK,000038
39,CNY,szse,STOCK,000039,中集集团,STK,000039
40,CNY,szse,STOCK,000040,东旭蓝天,STK,000040
42,CNY,szse,STOCK,000042,中洲控股,STK,000042
43,CNY,szse,STOCK,000043,中航地产,STK,000043
45,CNY,szse,STOCK,000045,深纺织Ａ,STK,000045
46,CNY,szse,STOCK,000046,泛海控股,STK,000046
48,CNY,szse,STOCK,000048,康达尔,STK,000048
49,CNY,szse,STOCK,000049,德赛电池,STK,000049
50,CNY,szse,STOCK,000050,深天马Ａ,STK,000050
55,CNY,szse,STOCK,000055,方大集团,STK,000055
56,CNY,szse,STOCK,000056,皇庭国际,STK,000056
58,CNY,szse,STOCK,000058,深 赛 格,STK,000058
59,CNY,szse,STOCK,000059,华锦股份,STK,000059
60,CNY,szse,STOCK,000060,中金岭南,STK,000060
61,CNY,szse,STOCK,000061,农 产 品,STK,000061
62,CNY,szse,STOCK,000062,深圳华强,STK,000062
63,CNY,szse,STOCK,000063,中兴通讯,STK,000063
65,CNY,szse,STOCK,000065,北方国际,STK,000065
66,CNY,szse,STOCK,000066,长城电脑,STK,000066
68,CNY,szse,STOCK,000068,华控赛格,STK,000068
69,CNY,szse,STOCK,000069,华侨城Ａ,STK,000069
70,CNY,szse,STOCK,000070,特发信息,STK,000070
78,CNY,szse,STOCK,000078,海王生物,STK,000078
88,CNY,szse,STOCK,000088,盐 田 港,STK,000088
89,CNY,szse,STOCK,000089,深圳机场,STK,000089
90,CNY,szse,STOCK,000090,天健集团,STK,000090
96,CNY,szse,STOCK,000096,广聚能源,STK,000096
99,CNY,szse,STOCK,000099,中信海直,STK,000099
100,CNY,szse,STOCK,000100,TCL 集团,STK,000100
150,CNY,szse,STOCK,000150,宜华健康,STK,000150
151,CNY,szse,STOCK,000151,中成股份,STK,000151
153,CNY,szse,STOCK,000153,丰原药业,STK,000153
155,CNY,szse,STOCK,000155,*ST川化,STK,000155
156,CNY,szse,STOCK,000156,华数传媒,STK,000156
157,CNY,szse,STOCK,000157,中联重科,STK,000157
158,CNY,szse,STOCK,000158,常山股份,STK,000158
159,CNY,szse,STOCK,000159,国际实业,STK,000159
166,CNY,szse,STOCK,000166,申万宏源,STK,000166
301,CNY,szse,STOCK,000301,东方市场,STK,000301
333,CNY,szse,STOCK,000333,美的集团,STK,000333
338,CNY,szse,STOCK,000338,潍柴动力,STK,000338
400,CNY,szse,STOCK,000400,许继电气,STK,000400
401,CNY,szse,STOCK,000401,冀东水泥,STK,000401
402,CNY,szse,STOCK,000402,金 融 街,STK,000402
403,CNY,szse,STOCK,000403,ST生化,STK,000403
404,CNY,szse,STOCK,000404,华意压缩,STK,000404
407,CNY,szse,STOCK,000407,胜利股份,STK,000407
408,CNY,szse,STOCK,000408,*ST金源,STK,000408
409,CNY,szse,STOCK,000409,山东地矿,STK,000409
410,CNY,szse,STOCK,000410,沈阳机床,STK,000410
411,CNY,szse,STOCK,000411,英特集团,STK,000411
413,CNY,szse,STOCK,000413,东旭光电,STK,000413
415,CNY,szse,STOCK,000415,渤海金控,STK,000415
416,CNY,szse,STOCK,000416,民生控股,STK,000416
417,CNY,szse,STOCK,000417,合肥百货,STK,000417
418,CNY,szse,STOCK,000418,小天鹅Ａ,STK,000418
419,CNY,szse,STOCK,000419,通程控股,STK,000419
420,CNY,szse,STOCK,000420,吉林化纤,STK,000420
421,CNY,szse,STOCK,000421,南京公用,STK,000421
422,CNY,szse,STOCK,000422,湖北宜化,STK,000422
423,CNY,szse,STOCK,000423,东阿阿胶,STK,000423
425,CNY,szse,STOCK,000425,徐工机械,STK,000425
426,CNY,szse,STOCK,000426,兴业矿业,STK,000426
428,CNY,szse,STOCK,000428,华天酒店,STK,000428
429,CNY,szse,STOCK,000429,粤高速Ａ,STK,000429
430,CNY,szse,STOCK,000430,张家界,STK,000430
488,CNY,szse,STOCK,000488,晨鸣纸业,STK,000488
498,CNY,szse,STOCK,000498,山东路桥,STK,000498
501,CNY,szse,STOCK,000501,鄂武商Ａ,STK,000501
502,CNY,szse,STOCK,000502,绿景控股,STK,000502
503,CNY,szse,STOCK,000503,海虹控股,STK,000503
504,CNY,szse,STOCK,000504,*ST生物,STK,000504
505,CNY,szse,STOCK,000505,*ST珠江,STK,000505
506,CNY,szse,STOCK,000506,中润资源,STK,000506
507,CNY,szse,STOCK,000507,珠海港,STK,000507
509,CNY,szse,STOCK,000509,华塑控股,STK,000509
510,CNY,szse,STOCK,000510,金路集团,STK,000510
511,CNY,szse,STOCK,000511,*ST烯碳,STK,000511
513,CNY,szse,STOCK,000513,丽珠集团,STK,000513
514,CNY,szse,STOCK,000514,渝 开 发,STK,000514
516,CNY,szse,STOCK,000516,国际医学,STK,000516
517,CNY,szse,STOCK,000517,荣安地产,STK,000517
518,CNY,szse,STOCK,000518,四环生物,STK,000518
519,CNY,szse,STOCK,000519,中兵红箭,STK,000519
520,CNY,szse,STOCK,000520,长航凤凰,STK,000520
521,CNY,szse,STOCK,000521,美菱电器,STK,000521
523,CNY,szse,STOCK,000523,广州浪奇,STK,000523
524,CNY,szse,STOCK,000524,岭南控股,STK,000524
525,CNY,szse,STOCK,000525,红 太 阳,STK,000525
526,CNY,szse,STOCK,000526,紫光学大,STK,000526
528,CNY,szse,STOCK,000528,柳 工,STK,000528
529,CNY,szse,STOCK,000529,广弘控股,STK,000529
530,CNY,szse,STOCK,000530,大冷股份,STK,000530
531,CNY,szse,STOCK,000531,穗恒运Ａ,STK,000531
532,CNY,szse,STOCK,000532,力合股份,STK,000532
533,CNY,szse,STOCK,000533,万 家 乐,STK,000533
534,CNY,szse,STOCK,000534,万泽股份,STK,000534
536,CNY,szse,STOCK,000536,华映科技,STK,000536
537,CNY,szse,STOCK,000537,广宇发展,STK,000537
538,CNY,szse,STOCK,000538,云南白药,STK,000538
539,CNY,szse,STOCK,000539,粤电力Ａ,STK,000539
540,CNY,szse,STOCK,000540,中天城投,STK,000540
541,CNY,szse,STOCK,000541,佛山照明,STK,000541
543,CNY,szse,STOCK,000543,皖能电力,STK,000543
544,CNY,szse,STOCK,000544,中原环保,STK,000544
545,CNY,szse,STOCK,000545,金浦钛业,STK,000545
546,CNY,szse,STOCK,000546,金圆股份,STK,000546
547,CNY,szse,STOCK,000547,航天发展,STK,000547
548,CNY,szse,STOCK,000548,湖南投资,STK,000548
550,CNY,szse,STOCK,000550,江铃汽车,STK,000550
551,CNY,szse,STOCK,000551,创元科技,STK,000551
552,CNY,szse,STOCK,000552,靖远煤电,STK,000552
553,CNY,szse,STOCK,000553,沙隆达Ａ,STK,000553
554,CNY,szse,STOCK,000554,泰山石油,STK,000554
555,CNY,szse,STOCK,000555,神州信息,STK,000555
557,CNY,szse,STOCK,000557,西部创业,STK,000557
558,CNY,szse,STOCK,000558,莱茵体育,STK,000558
559,CNY,szse,STOCK,000559,万向钱潮,STK,000559
560,CNY,szse,STOCK,000560,昆百大Ａ,STK,000560
561,CNY,szse,STOCK,000561,烽火电子,STK,000561
563,CNY,szse,STOCK,000563,陕国投Ａ,STK,000563
564,CNY,szse,STOCK,000564,供销大集,STK,000564
565,CNY,szse,STOCK,000565,渝三峡Ａ,STK,000565
566,CNY,szse,STOCK,000566,海南海药,STK,000566
567,CNY,szse,STOCK,000567,海德股份,STK,000567
568,CNY,szse,STOCK,000568,泸州老窖,STK,000568
570,CNY,szse,STOCK,000570,苏常柴Ａ,STK,000570
571,CNY,szse,STOCK,000571,新大洲Ａ,STK,000571
572,CNY,szse,STOCK,000572,海马汽车,STK,000572
573,CNY,szse,STOCK,000573,粤宏远Ａ,STK,000573
576,CNY,szse,STOCK,000576,广东甘化,STK,000576
581,CNY,szse,STOCK,000581,威孚高科,STK,000581
582,CNY,szse,STOCK,000582,北部湾港,STK,000582
584,CNY,szse,STOCK,000584,友利控股,STK,000584
585,CNY,szse,STOCK,000585,东北电气,STK,000585
586,CNY,szse,STOCK,000586,汇源通信,STK,000586
587,CNY,szse,STOCK,000587,金洲慈航,STK,000587
589,CNY,szse,STOCK,000589,黔轮胎Ａ,STK,000589
590,CNY,szse,STOCK,000590,启迪古汉,STK,000590
591,CNY,szse,STOCK,000591,太阳能,STK,000591
592,CNY,szse,STOCK,000592,平潭发展,STK,000592
593,CNY,szse,STOCK,000593,大通燃气,STK,000593
595,CNY,szse,STOCK,000595,宝塔实业,STK,000595
596,CNY,szse,STOCK,000596,古井贡酒,STK,000596
597,CNY,szse,STOCK,000597,东北制药,STK,000597
598,CNY,szse,STOCK,000598,兴蓉环境,STK,000598
599,CNY,szse,STOCK,000599,青岛双星,STK,000599
600,CNY,szse,STOCK,000600,建投能源,STK,000600
601,CNY,szse,STOCK,000601,韶能股份,STK,000601
603,CNY,szse,STOCK,000603,盛达矿业,STK,000603
605,CNY,szse,STOCK,000605,渤海股份,STK,000605
606,CNY,szse,STOCK,000606,神州易桥,STK,000606
607,CNY,szse,STOCK,000607,华媒控股,STK,000607
608,CNY,szse,STOCK,000608,阳光股份,STK,000608
609,CNY,szse,STOCK,000609,绵石投资,STK,000609
610,CNY,szse,STOCK,000610,西安旅游,STK,000610
611,CNY,szse,STOCK,000611,*ST天首,STK,000611
612,CNY,szse,STOCK,000612,焦作万方,STK,000612
613,CNY,szse,STOCK,000613,大东海A,STK,000613
615,CNY,szse,STOCK,000615,京汉股份,STK,000615
616,CNY,szse,STOCK,000616,海航投资,STK,000616
617,CNY,szse,STOCK,000617,中油资本,STK,000617
619,CNY,szse,STOCK,000619,海螺型材,STK,000619
620,CNY,szse,STOCK,000620,新华联,STK,000620
622,CNY,szse,STOCK,000622,*ST恒立,STK,000622
623,CNY,szse,STOCK,000623,吉林敖东,STK,000623
625,CNY,szse,STOCK,000625,长安汽车,STK,000625
626,CNY,szse,STOCK,000626,远大控股,STK,000626
627,CNY,szse,STOCK,000627,天茂集团,STK,000627
628,CNY,szse,STOCK,000628,高新发展,STK,000628
629,CNY,szse,STOCK,000629,*ST钒钛,STK,000629
630,CNY,szse,STOCK,000630,铜陵有色,STK,000630
631,CNY,szse,STOCK,000631,顺发恒业,STK,000631
632,CNY,szse,STOCK,000632,三木集团,STK,000632
633,CNY,szse,STOCK,000633,*ST合金,STK,000633
635,CNY,szse,STOCK,000635,英 力 特,STK,000635
636,CNY,szse,STOCK,000636,风华高科,STK,000636
